connectionpool.py-208-2022-12-08 15:37:29,831-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:29,923-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:31,741-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 88
connectionpool.py-208-2022-12-08 15:37:33,764-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:33,764-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:33,855-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:33,855-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:35,664-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:35,664-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-208-2022-12-08 15:37:37,681-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:37,681-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:37,681-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:37,781-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:37,781-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:37,781-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:39,588-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:39,588-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:39,588-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-208-2022-12-08 15:37:41,601-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:41,601-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:41,601-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:41,601-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:41,698-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:41,698-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:41,698-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:41,698-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:43,499-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:43,499-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:43,499-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-396-2022-12-08 15:37:43,499-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
connectionpool.py-208-2022-12-08 15:37:45,523-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:45,523-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:45,523-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:45,523-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-12-08 15:37:45,523-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-12-08 15:37:45,610-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:45,610-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:45,610-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:45,610-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:45,610-DEBUG-http://127.0.0.1:54773 "POST /shell HTTP/1.1" 200 278
connectionpool.py-396-2022-12-08 15:37:47,419-DEBUG-http://127.0.0.1:54773 "POST /jsonrpc/0 HTTP/1.1" 200 89
